source_file,frame_number,active_class_index,source_number_index,azimuth,elevation,distance
fold3_room12_mix001.csv,33,0,1,-169,-11,156
fold3_room12_mix001.csv,53,0,1,-170,-11,154
fold3_room12_mix001.csv,64,0,1,-170,-11,155
fold3_room12_mix001.csv,75,0,1,-170,-11,154
fold3_room12_mix001.csv,131,0,1,-170,-11,154
fold3_room12_mix001.csv,151,0,1,-170,-11,155
fold3_room12_mix001.csv,162,0,1,-170,-11,155
fold3_room12_mix001.csv,165,0,1,-170,-11,155
fold3_room12_mix001.csv,183,0,1,-170,-11,155
fold3_room12_mix001.csv,208,0,1,-170,-11,153
fold3_room12_mix001.csv,256,0,1,-170,-11,155
fold3_room12_mix001.csv,260,0,1,-170,-11,155
fold3_room12_mix001.csv,285,0,1,-170,-11,155
fold3_room12_mix001.csv,313,0,1,-170,-11,155
fold3_room12_mix001.csv,325,0,1,-170,-11,155
fold3_room12_mix001.csv,341,0,1,-169,-11,155
fold3_room12_mix001.csv,350,0,1,-170,-11,155
fold3_room12_mix001.csv,354,0,1,-170,-11,155
fold3_room12_mix001.csv,395,0,1,-170,-11,154
fold3_room12_mix001.csv,408,0,1,-170,-11,155
fold3_room12_mix001.csv,417,0,1,-170,-11,155
fold3_room12_mix001.csv,424,0,1,-170,-11,155
fold3_room12_mix001.csv,435,0,1,-170,-11,155
fold3_room12_mix001.csv,461,0,1,-170,-11,155
fold3_room12_mix001.csv,562,0,1,-170,-11,155
fold3_room12_mix001.csv,579,0,1,-170,-11,155
fold3_room12_mix001.csv,604,0,1,-170,-11,155
fold3_room12_mix001.csv,619,0,1,-170,-11,155
fold3_room12_mix001.csv,744,0,1,-170,-11,155
fold3_room12_mix001.csv,773,0,1,-170,-11,155
fold3_room12_mix001.csv,812,0,1,-170,-11,155
fold3_room12_mix001.csv,826,0,1,-170,-11,155
fold3_room12_mix001.csv,834,0,1,-170,-11,155
fold3_room12_mix001.csv,836,0,1,-170,-11,155
fold3_room12_mix001.csv,926,0,1,-170,-11,155
fold3_room12_mix001.csv,928,0,1,-170,-11,155
fold3_room12_mix001.csv,1059,0,1,-170,-11,155
fold3_room12_mix001.csv,1061,0,1,-170,-11,155
fold3_room12_mix001.csv,1070,0,1,-170,-11,155
fold3_room12_mix001.csv,1082,0,1,-170,-11,155
fold3_room12_mix001.csv,1091,0,1,-170,-11,154
fold3_room12_mix001.csv,1129,0,1,-170,-11,154
