source_file,frame_number,active_class_index,source_number_index,azimuth,elevation,distance
fold3_room12_mix001.csv,58,1,2,121,-12,145
fold3_room12_mix001.csv,84,1,2,121,-12,145
fold3_room12_mix001.csv,92,1,2,121,-12,145
fold3_room12_mix001.csv,97,1,2,121,-12,145
fold3_room12_mix001.csv,127,1,2,121,-12,145
fold3_room12_mix001.csv,154,1,2,121,-12,146
fold3_room12_mix001.csv,159,1,2,121,-12,145
fold3_room12_mix001.csv,168,1,2,121,-12,145
fold3_room12_mix001.csv,181,1,2,121,-12,145
fold3_room12_mix001.csv,214,1,2,121,-12,145
fold3_room12_mix001.csv,217,1,2,121,-12,145
fold3_room12_mix001.csv,223,1,2,121,-12,145
fold3_room12_mix001.csv,252,1,2,121,-12,145
fold3_room12_mix001.csv,268,1,2,121,-12,146
fold3_room12_mix001.csv,281,1,2,120,-12,146
fold3_room12_mix001.csv,316,1,2,121,-12,146
fold3_room12_mix001.csv,321,1,2,121,-12,146
fold3_room12_mix001.csv,345,1,2,120,-12,145
fold3_room12_mix001.csv,347,1,2,121,-12,146
fold3_room12_mix001.csv,364,1,2,121,-12,146
fold3_room12_mix001.csv,394,1,2,121,-12,146
fold3_room12_mix001.csv,464,1,2,121,-12,147
fold3_room12_mix001.csv,533,1,2,121,-12,148
fold3_room12_mix001.csv,545,1,2,121,-12,147
fold3_room12_mix001.csv,559,1,2,121,-12,147
fold3_room12_mix001.csv,582,1,2,121,-12,147
fold3_room12_mix001.csv,588,1,2,121,-12,147
fold3_room12_mix001.csv,600,1,2,121,-12,147
fold3_room12_mix001.csv,629,1,2,121,-12,147
fold3_room12_mix001.csv,681,1,2,120,-11,148
fold3_room12_mix001.csv,685,1,2,120,-11,149
fold3_room12_mix001.csv,698,1,2,120,-11,148
fold3_room12_mix001.csv,709,1,2,121,-12,148
fold3_room12_mix001.csv,722,1,2,121,-11,148
fold3_room12_mix001.csv,729,1,2,121,-12,148
fold3_room12_mix001.csv,733,1,2,121,-11,148
fold3_room12_mix001.csv,737,1,2,121,-11,149
fold3_room12_mix001.csv,739,1,2,121,-12,148
fold3_room12_mix001.csv,775,1,2,121,-11,149
fold3_room12_mix001.csv,802,1,2,121,-12,148
fold3_room12_mix001.csv,841,1,2,121,-12,148
fold3_room12_mix001.csv,842,1,2,121,-11,148
fold3_room12_mix001.csv,851,1,2,121,-11,148
fold3_room12_mix001.csv,886,1,2,121,-11,148
fold3_room12_mix001.csv,893,1,2,121,-11,149
